,time,open,high,low,close,volume,ticker
103,2015-06-11,9520,9590,9520,9570,420000,FPT
104,2015-06-12,9590,9680,9590,9630,753350,FPT
105,2015-06-15,9700,9700,9570,9610,341650,FPT
106,2015-06-16,9610,9650,9510,9510,479370,FPT
107,2015-06-17,9480,9520,9460,9480,483360,FPT
108,2015-06-18,9480,9610,9480,9510,324300,FPT
109,2015-06-19,9510,9630,9510,9570,524770,FPT
110,2015-06-22,9610,9780,9590,9730,1273750,FPT
111,2015-06-23,9730,9760,9700,9710,623750,FPT
112,2015-06-24,9730,9730,9650,9650,356850,FPT
113,2015-06-25,9630,9650,9610,9610,585020,FPT
114,2015-06-26,9630,10230,9630,9890,4210260,FPT
115,2015-06-29,9990,10190,9930,9990,935540,FPT
116,2015-06-30,9890,9970,9890,9900,1048220,FPT
117,2015-07-01,9900,10060,9840,9990,737610,FPT
118,2015-07-02,9970,10120,9950,10090,1090220,FPT
119,2015-07-03,10120,10120,10020,10030,758500,FPT
120,2015-07-06,10060,10150,10030,10150,979490,FPT
121,2015-07-07,10120,10350,10090,10160,1132850,FPT
122,2015-07-08,10160,10210,9950,9970,1420160,FPT
123,2015-07-09,9930,10020,9870,9970,999820,FPT
124,2015-07-10,9970,10030,9900,9950,835670,FPT
125,2015-07-13,9950,10150,9930,10020,489440,FPT
126,2015-07-14,10020,10090,9950,10020,395670,FPT
127,2015-07-15,10030,10030,9900,9900,654910,FPT
128,2015-07-16,9870,9900,9780,9900,611060,FPT
129,2015-07-17,9890,10020,9870,9900,315540,FPT
130,2015-07-20,9900,9900,9800,9870,419830,FPT
131,2015-07-21,9830,9840,9700,9730,876450,FPT
132,2015-07-22,9730,9930,9710,9930,455030,FPT
133,2015-07-23,9900,10230,9900,10030,2140450,FPT
134,2015-07-24,10090,10210,10090,10160,1217830,FPT
135,2015-07-27,10230,10580,10210,10470,1865720,FPT
136,2015-07-28,10470,10470,10300,10300,634450,FPT
137,2015-07-29,10300,10410,10190,10230,1119080,FPT
138,2015-07-30,10230,10250,10100,10100,938320,FPT
139,2015-07-31,10190,10210,10100,10100,541330,FPT
140,2015-08-03,10030,10030,9900,9930,1136670,FPT
141,2015-08-04,10020,10120,9950,10030,526180,FPT
142,2015-08-05,10090,10120,10020,10120,312920,FPT
143,2015-08-06,10120,10160,9990,9990,561120,FPT
144,2015-08-07,10030,10150,9970,10100,546600,FPT
145,2015-08-10,10150,10350,10150,10350,1180730,FPT
146,2015-08-11,10350,10470,10250,10320,861370,FPT
147,2015-08-12,10250,10250,10100,10160,1257050,FPT
148,2015-08-13,10160,10160,9990,10030,1573130,FPT
149,2015-08-14,10020,10100,9930,9990,702440,FPT
150,2015-08-17,9990,10060,9830,9870,816140,FPT
151,2015-08-18,9870,9970,9830,9950,751710,FPT
152,2015-08-19,10020,10150,9930,10060,860750,FPT
153,2015-08-20,10090,10090,9900,9930,384210,FPT
154,2015-08-21,9840,9870,9600,9870,1184950,FPT
155,2015-08-24,9690,9730,9230,9260,2107920,FPT
156,2015-08-25,9170,9490,9170,9360,1302560,FPT
157,2015-08-26,9380,9710,9380,9620,960660,FPT
158,2015-08-27,9620,9730,9600,9670,701980,FPT
159,2015-08-28,9730,9780,9670,9750,883560,FPT
160,2015-08-31,9710,9780,9620,9650,383640,FPT
161,2015-09-01,9690,9690,9580,9620,319590,FPT
162,2015-09-03,9580,9620,9530,9530,361300,FPT
163,2015-09-04,9530,9620,9520,9560,200160,FPT
164,2015-09-07,9600,9600,9460,9520,143530,FPT
165,2015-09-08,9490,9620,9490,9580,195100,FPT
166,2015-09-09,9650,9690,9620,9620,351700,FPT
167,2015-09-10,9620,9650,9580,9650,228830,FPT
168,2015-09-11,9690,9690,9600,9600,178370,FPT
169,2015-09-14,9600,9600,9530,9530,213260,FPT
170,2015-09-15,9520,9580,9490,9530,91140,FPT
171,2015-09-16,9530,9580,9520,9530,123720,FPT
172,2015-09-17,9530,9600,9530,9560,121980,FPT
173,2015-09-18,9730,9800,9620,9730,743610,FPT
174,2015-09-21,9710,9930,9710,9930,548700,FPT
175,2015-09-22,9930,9950,9840,9870,289410,FPT
176,2015-09-23,9840,9900,9800,9800,447860,FPT
177,2015-09-24,9830,9890,9780,9840,287470,FPT
178,2015-09-25,9870,9870,9780,9800,259280,FPT
179,2015-09-28,9800,9830,9710,9710,267580,FPT
180,2015-09-29,9710,9710,9670,9710,260100,FPT
181,2015-09-30,9780,9780,9670,9710,159670,FPT
182,2015-10-01,9710,9750,9690,9730,179470,FPT
183,2015-10-02,9730,9780,9710,9730,181780,FPT
184,2015-10-05,9750,9840,9730,9830,382440,FPT
185,2015-10-06,9950,10090,9900,10030,923920,FPT
186,2015-10-07,10090,10090,9830,9870,337650,FPT
187,2015-10-08,9870,9990,9870,9990,331030,FPT
188,2015-10-09,10030,10130,9990,9990,778950,FPT
189,2015-10-12,9970,10020,9970,9990,414610,FPT
190,2015-10-13,9990,9990,9900,9930,298120,FPT
191,2015-10-14,10260,10460,10170,10200,3076790,FPT
192,2015-10-15,10240,10240,10150,10170,426740,FPT
193,2015-10-16,10200,10240,10200,10200,548620,FPT
194,2015-10-19,10200,10430,10200,10280,1396480,FPT
195,2015-10-20,10280,10460,10260,10330,1968330,FPT
196,2015-10-21,10390,10390,10260,10260,703530,FPT
197,2015-10-22,10220,10280,10220,10240,473620,FPT
198,2015-10-23,10300,10350,10260,10280,719680,FPT
199,2015-10-26,10360,10600,10360,10390,2631100,FPT
200,2015-10-27,10350,10550,10350,10470,1345230,FPT
201,2015-10-28,10510,10670,10510,10660,2673100,FPT
202,2015-10-29,10760,10840,10720,10760,1846600,FPT
203,2015-10-30,10780,10800,10670,10760,982600,FPT
204,2015-11-02,10780,11130,10760,10800,2790190,FPT
205,2015-11-03,10910,11460,10890,11460,3798850,FPT
206,2015-11-04,11460,11670,11350,11350,1772170,FPT
207,2015-11-05,11240,11670,11240,11670,2727690,FPT
208,2015-11-06,11670,11900,11350,11460,3164790,FPT
209,2015-11-09,11350,11460,11240,11240,2035350,FPT
210,2015-11-10,11240,11350,11020,11130,2049910,FPT
211,2015-11-11,11020,11350,11020,11020,1790510,FPT
